pesticide_category,active_substance_ru,possible_english_candidate,system,reason,confidence,recommendation
herbicides,Азимсульфурон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Амидосульфурон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Амикарбазон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Аминопиралид,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Ацифлуорфен,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Ацифлуорфен) «БАСФ СЕ»,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Бенсульфурон-метил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Бентазон) «БАСФ СЕ»,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Бентазон) «Шандонг Вейфанг Рейнбоу Кемикал Ко. Лтд.»,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,биоактиватор,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Биспирибак натрия,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,"Биспирибак натрия) Кумиаи Кемикал Индастри Ко., Лтд.",,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,бромоксинил (смесь эфиров октаноата и гептаноата,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,г/кг никосульфурон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,г/кг римсульфурон,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,г/кг флорасулама,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,г/л десмедифама,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,г/л Пиноксаден,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,г/л Фенмедифама,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,г/л феноксапроп-П-этил,,,no high-confidence unique candidate in audit,low,needs manual review
herbicides,Галоксифоп-П-метил,,,no high-confidence unique candidate in audit,low,needs manual review
